Review,Relevant,id,embedding,cluster,membership_cluster_0,membership_cluster_1,membership_cluster_2,membership_cluster_3,membership_cluster_4,membership_cluster_5,membership_cluster_6,membership_cluster_7,membership_cluster_8,membership_cluster_9,membership_cluster_10
"I am tired of this fueling keyboard refusing to use swear words.
",1,26,"[-0.13560870811928014, 0.1478642154308211]",1,0.010327944430981707,0.9803521066334036,0.005243796457571286,0.00013955849477611962,0.0009211033039210466,0.00013154329522812656,0.0006004589671459206,8.267665053961845e-05,0.0020946218362078886,9.121531528080236e-05,1.4974614943921921e-05
"Swiftkey's has limited 3 words predicted for selection.
",1,27,"[-0.07010047645113913, 0.01948205179298093]",8,0.008496432056864968,0.11488289799116386,0.033924491642887133,0.010746682550606323,0.30507319199292077,0.006964876427493876,0.1829250924784523,0.0066196186474298474,0.32853507204145416,0.0014438663417982868,0.00038777782892834557
"I find it terribly annoying that now the prediction bar, and corrections don't work 50% of the time.
",1,28,"[-0.11629803182619007, -0.149365369075081]",6,0.00040372548343240496,0.002238145024438362,0.0007229397093393297,0.25877031758360797,0.008210787875031393,0.000812308086330888,0.6403222153876408,0.007574345151428943,0.08075706351346766,0.0001202610197376826,6.789116554466045e-05
"I have to close the keyboard and then reopen for this to work.
",1,29,"[-0.1995946134271512, 0.20537093629965433]",0,0.7124442378995434,0.27114371540742466,0.008322936036745063,0.0004162686022282266,0.0014941916107596219,0.0003366469646109812,0.0012215403967088393,0.0002312936092808803,0.004007170702160885,0.0003274026371236817,5.45961334137154e-05
"Also, I should be able to delete typos that have been presumed predictions.
",1,30,"[-0.03879103706567633, -0.23665114292260434]",3,0.00036935323892730925,0.0013318912618776836,0.0007944558655282576,0.6630302746334596,0.010073936989702721,0.0022357684815149824,0.09449108118338921,0.2164789438595545,0.01078525459135269,0.0002195764409344684,0.00018946345375843373
"It is missing one thing, however. Emoji support.
",1,31,"[0.11467088726170672, -0.10531827388363867]",4,0.0015449287312170239,0.004554356137626842,0.007815272858251423,0.015637449962905812,0.4133875292280097,0.2498988584981123,0.07880506624843336,0.21038753476435915,0.0129004625160834,0.002736604669323821,0.0023319363856770517
"If this language/font were to be added, SwiftKey would win the award for best Android app.
",1,32,"[0.09837574464860474, 0.07730662386129593]",4,0.007054922052753459,0.01691791708599831,0.1976851381062489,0.004381125527531872,0.5250271353400007,0.1791023503991299,0.025030468292713704,0.009191909024850434,0.01384036856299789,0.018992406273998442,0.0027762593337763344
"After having the language constantly failing to download, and now not downloading at all.
",1,33,"[-0.1746579160530982, -0.29932231318744495]",3,0.00048000293912156414,0.0016043239727886436,0.0006529056357652885,0.946707075022994,0.003368067123903694,0.0009484799690827006,0.021036516763882324,0.012858851509723103,0.012019282539695475,0.00018108471778442652,0.00014340980525889632
"But very glitchy on Google chrome, keeps typing previous word when pressing the backspace key...
",1,34,"[-0.20341077119180012, 0.04400831250477483]",1,0.012058305433975396,0.6065146256537856,0.006936022082046097,0.0046494405490186625,0.008921622580184781,0.0010290034434390421,0.018275921702248416,0.0014136783642391651,0.33965512136410275,0.0004272035426263527,0.00011905528433388747
"Only problem i have is the exclamation mark.
",1,35,"[0.016072893609913024, -0.1398923197249931]",6,0.0007345318536001839,0.0029476548204707236,0.002483415761493157,0.04224599141310083,0.13716347122249223,0.010470878109251625,0.570030894309669,0.2131462006836013,0.01984264799572275,0.0005505633020872824,0.0003837505285108341
"Very very poor set up,  it almost never works when you swipe the multi button.
",1,36,"[-0.11339872184299711, 0.04711083181304576]",1,0.01287276917577452,0.49473054234430447,0.027073341834900032,0.006095385230701378,0.05474053708657775,0.00302305493832009,0.05470141282446868,0.002941532059412656,0.34263295450725056,0.0009554442609558213,0.00023302573733422827
"Always puts a period or a comma, never an exclamation mark.
",1,37,"[-0.004812138926487888, -0.14446933440191137]",6,0.000444462335133562,0.0018917087388759452,0.0013649694894420912,0.04076784501243434,0.0597699753632411,0.0043742978648782845,0.7800125191177851,0.09486903729115857,0.016029582419370234,0.000284299577621603,0.00019130279005896472
"Until I updated to Jelly Bean, I would give this app 5 stars.
",1,38,"[-0.038699819206249673, -0.06009695064882126]",6,0.0004042745186938752,0.0026605665766786983,0.0014703653576549327,0.004993702474421328,0.13073589920496206,0.0015318330664298592,0.823245831672203,0.003695006059705132,0.03104366661912934,0.0001542874327313236,6.456701739062995e-05
"However, following the update on my S3 to Jelly Bean, it now reverts to the Samsung keyboard as the default every time I restart the phone.
",1,39,"[-0.2707712671696119, 0.25016024531497244]",0,0.8712068813041612,0.10215687125965392,0.010670968778295726,0.0011009289059710546,0.002649456395665007,0.0007687131493270683,0.0024946814670560617,0.0005867010606813981,0.007351722292735683,0.0008536087010276012,0.0001594666854251242
"From my understanding, it is an issue the developers are aware of and have stated that we all need to wait until Jelly Bean is updated to 4.1.2.
",1,40,"[-0.10445155187701918, -0.09638632202965197]",6,0.0001448905821022297,0.0010535643687454234,0.0002952446372253657,0.007831678851980987,0.004382183906247045,0.0002431403670647143,0.8952067757562,0.0011642850124077724,0.08962455256299381,3.659431642249018e-05,1.7089638609880795e-05
"I just need Chinese!!!
",1,41,"[0.12651565119266242, -0.27878914249175163]",7,0.00016648630958439485,0.0004211285163846227,0.00045868445388696003,0.006623189431698657,0.004478184295219694,0.004461721084818074,0.006044280833324053,0.9753069124333357,0.001397038613907915,0.00023810850931737571,0.000404265518522525
"Otherwise it's such a pain to switch keyboards just to type one Chinese character!
",1,42,"[-0.06673559332892544, 0.12466719397697693]",1,0.04251667483796448,0.4457703347173222,0.3964111909872332,0.002808020600921158,0.05085447006210242,0.004879247865572858,0.016678627975043797,0.0021820855065021886,0.034901739966874436,0.002613200956517575,0.0003844065239456991
"Keeps rebooting vzw gnex and numerous bug reports and posts left unanswered or even unacknowledged using pay version too...
",1,43,"[-0.1658397037607929, -0.08510923450233927]",8,0.00016800821844414928,0.0014577820461041534,0.00022458594355298012,0.004619119743227538,0.0013514859432311613,0.00012095708239837227,0.022660837987736836,0.00044814613882904924,0.9689112551643368,2.637325160718509e-05,1.1448480531683893e-05
"Just wish there were more themes to choose from and that of your backspace from an auto completed word that it would defer to what you originally typed.
",1,44,"[0.22483457957260894, 0.024967379603930265]",5,7.04428699442249e-05,0.00012893781668449125,0.0006269246795536876,0.00010125654865944105,0.0024275930569362136,0.9944981243322206,0.0003436576812870663,0.0004024651556113279,0.00015047109165994136,0.0008022880321698681,0.00044783873527308297
"As stated before SwiftKey does not load after a reboot. It has to be disabled an re enable again.
",1,45,"[-0.19099141733621153, 0.17329824715360678]",1,0.08887291827423711,0.8997080403814876,0.004944126414475512,0.00029016565916783045,0.0010963055526024626,0.000209014199971481,0.0009377445600009662,0.00015273385253131838,0.0035873624100322974,0.00017120072704330638,3.0387968449959386e-05
"Great keyboard and prediction but needs SWIPE function for portrait mode and better customization
",1,46,"[0.08950744924412109, 0.23563516099692208]",2,0.010358393227727662,0.008630414706412392,0.904661727839073,0.0007822523031158069,0.011962071565152319,0.008584566159966346,0.00273889254392202,0.0010899783471836164,0.002766587193914272,0.04737542731894582,0.0010496887945869796
"Update: Using on the LG Optimus G and the cursor KEEPS  jumping to the top of the field in the middle of sentences.
",1,47,"[-0.22727736188426106, -0.05177637788749696]",8,0.0018207370219311277,0.018149339453832215,0.0014940222895377104,0.010382904383418446,0.004244281292876695,0.0005351836573786166,0.023261892266581787,0.0014045047315193616,0.9384779957204782,0.00016487191016565611,6.426727228020587e-05
"But can't personalized with fb..
",1,48,"[0.055434450762035924, -0.11641510643755805]",4,0.0011130777608540645,0.004036085040109751,0.004746358140387254,0.02359704957408561,0.4643422934577168,0.03725032834826094,0.22886495102794965,0.21629356812571646,0.017795322227853475,0.0011515354160953565,0.0008094308809703919
"Uninstalled until I can save it to the SD card, everything is great except for the amount of space it takes up.
",1,49,"[-0.04443301431839854, -0.07541136878275315]",6,9.842309931841499e-05,0.0006258361934708854,0.000321135284505923,0.0019803710606173487,0.020447334661725592,0.0003733585664259026,0.9654207955441829,0.0012451096861245282,0.00943310197092599,3.760700240084278e-05,1.6926930301389655e-05
"This app is very good, but it can run a little laggy on my GS3
",1,50,"[-0.052758803185889096, -0.012863478772728643]",4,0.002853718141028403,0.026131795158597152,0.011780950848729212,0.009315741243208317,0.44090163426355705,0.005128561617299862,0.3224243001630056,0.006293500443116029,0.174182233948474,0.000748076175691015,0.00023948799729334126
"Give me a red version of the ""holo"" theme and you'll get 5 stars.
",1,51,"[0.2872598275037425, 0.0429979720412842]",5,0.0009940710842093281,0.0015555174330897509,0.007239874553152574,0.001218459474089656,0.015733639902433108,0.9170638216660626,0.003363091340439752,0.004478102442577363,0.001668796167317006,0.023157831246853295,0.02352679468977553
"The only thing I do hate is when I enter a full stop then  space it automatically In puts (I) so my sentences start with I when I'm typing fast.
",1,52,"[-0.16557070194088952, -0.027946827516649106]",8,1.3176616442421062e-05,0.00020598818707514514,1.6113148786072933e-05,5.350144892084492e-05,6.50173247338773e-05,5.028644641173517e-06,0.0003793396183525209,1.0951680724535133e-05,0.9992490884371377,1.328247943350188e-06,4.6664524236210517e-07
"Used to be the best keyboard ever since jellybean update now on my GS3 it will not hold as default :'-(
",1,53,"[-0.1746218353873004, 0.22158034014681802]",0,0.9341327605617388,0.05872652284107715,0.004576313179671988,0.00012845532084965015,0.0005508744130062947,0.00013021783520103956,0.0003912226465171212,7.848108717199209e-05,0.0011217689419944165,0.00014240784184914337,2.0975330922263975e-05
"I would love to more themes, the current themes are great but I love customising my phone.
",1,54,"[0.470978844675905, 0.13071734187253128]",10,0.0007113134667714113,0.0008228012617423972,0.002968756679899152,0.0005943768184351613,0.003059720712917603,0.018076820353658894,0.0011753159116381071,0.001559540071966585,0.0007535995979304262,0.03523259217268922,0.9350451629523511
"Wheres the clipboard button?
",1,55,"[0.038694761815957546, -0.00922453310306397]",4,6.16669943432238e-07,2.6553061502991478e-06,5.3603019445245925e-06,1.7013008060764742e-06,0.9999455976838726,9.959201524701826e-06,2.396744202233412e-05,3.4914767509696288e-06,5.946772217050144e-06,5.285794068775056e-07,1.752653612275944e-07
"This auto correct is illogical sometimes.
",1,56,"[-0.12358639978270634, -0.15855676759055154]",3,0.0004489877686372586,0.0024033197304683057,0.0007693910498146247,0.49115432080037297,0.007871970098364277,0.0008704149795150836,0.4094199042575905,0.008578059406678856,0.07827361260017061,0.00013310381119025847,7.691549719719339e-05
"When I type ""just""  I don't mean ""justified"".
",1,57,"[-0.05253089638521412, -0.10836575937864344]",6,6.068353554891056e-07,3.462343253310665e-06,1.672053929037965e-06,3.782463949896942e-05,6.232205278793858e-05,2.419802851429053e-06,0.9998100247598882,1.6009344594437402e-05,6.528907181230838e-05,2.426732271151696e-07,1.2642280183578606e-07
"It will also auto capitalize words that don't need to be capitalized.
",1,58,"[-0.04551894982358438, -0.14783266105136264]",6,9.885306892294292e-05,0.00047207972321696015,0.00025204360760687467,0.02221475389451502,0.006821775129396323,0.0005094860522955143,0.9544331795428109,0.008463007098399302,0.006658597755997105,4.693180072160235e-05,2.9292326117534724e-05
"Was excellent but pasting has recently broken on my Samsung galaxy s3 which is very frustrating!!
",1,59,"[-0.03883414071288188, -0.020362172567289123]",4,0.0016738428636267713,0.013057488991449954,0.007587173927154283,0.00670744421989431,0.6091755084190823,0.004368664358000893,0.2710974170124525,0.005344433022091073,0.08026801442741305,0.0005392437080133428,0.0001807690508214501
"I don't know what sort of processor is expected for running a keyboard but swift key can't keep up with my typing for the most part on a Samsung galaxy tablet 10.1
",1,60,"[-0.1712401753381791, 0.2267317863735353]",0,0.9619148260380334,0.03308554464193167,0.0033154799445310754,8.459083267651467e-05,0.0003699440221857256,8.945873305126145e-05,0.0002568772078951786,5.261814085550181e-05,0.0007148550624004132,0.00010126244164202561,1.4542934797479594e-05
"Only suggestions I have would be a tab key for use with Web browsers and such and a personal dictionary would be nice to help speed the keyboards learning process up
",1,61,"[-0.01905741507752406, 0.17593021437971848]",2,0.0014098313223397411,0.002580085605318179,0.993915931146416,5.2008699768455896e-05,0.0009936322534962226,0.00019396606424960266,0.00024341279927750316,5.1979542087385625e-05,0.0003529738249668349,0.0001893628965630333,1.6815845516998163e-05
"Please add a few themes frequently.
",1,62,"[0.5335822813864856, 0.0458060027572398]",10,3.0003374656021854e-07,3.727865797220187e-07,1.0664964057554291e-06,3.6454466136767665e-07,1.4553043908612533e-06,8.36619462936274e-06,6.428765800219322e-07,1.0569011866373106e-06,3.9017686426684997e-07,6.041454822970589e-06,0.9999799432301325
"I love this keyboard,  but I notice a significant decrease in my battery life when I use it.
",1,63,"[-0.15327261998455938, 0.3810451024166437]",0,0.9104007683589612,0.032464482532421284,0.03843858521144227,0.0010155481979636487,0.0038359948690504094,0.0016849148667468397,0.0024002056467324895,0.000786303588927206,0.004438143004214844,0.004096462037472128,0.00043859168606771984
"It would be perfect if there was a delete key!
",1,64,"[0.14120329882456353, 0.07291762205613322]",5,0.005087041785897474,0.010395077129564485,0.0996583417655833,0.003843823210232312,0.2623940357522775,0.5468397818295426,0.018205824700072565,0.009841680310888463,0.009333847130885626,0.029692321665930037,0.0047082247191256804
"I would give it 5 stars if predictive text was supported in all apps.
",1,65,"[-0.007887783440562011, -0.1240314982018094]",6,0.0002938256913971454,0.0013372378053941054,0.0009615291530948618,0.016713908641123647,0.05956150204389394,0.002687794388159629,0.8770095559138341,0.029309046664239526,0.011840448241764792,0.00017724177139494642,0.00010790968570313517
"As it stands, too many apps remain unsupported.
",1,66,"[0.03475208753264198, -0.11067281645195286]",4,0.0009145078259351566,0.003627761307894424,0.0037637609574797666,0.021925428099892234,0.4606092953457495,0.019554041134598927,0.3546334864003407,0.11471501710977496,0.018969022631066142,0.0007865497553587998,0.0005011294319092709
"Love it but needs emoji support now
",1,67,"[0.10113648995015213, -0.04360460363724465]",4,0.0006690178056740255,0.0020700704071089037,0.004932882908263277,0.0028996365910887918,0.8360094109029803,0.11144188603286419,0.02143746877445838,0.01414753281954481,0.004558503500759618,0.0012083218187773743,0.0006252684384800507
"Pretty good,  I get sick of checking everything to make sure it's predicting what I actually wanted, it seems to lag a lot too
",1,68,"[-0.11684693649337699, -0.04603846176369583]",8,0.00026918057875584,0.003022711131353839,0.0005264789596910737,0.002357014841255767,0.005154321563040749,0.0002374638966868011,0.06732458574853976,0.0005865837056827358,0.9204590820654109,4.550095294262465e-05,1.7076556639890486e-05
"Just wish it had more themes.
",1,69,"[0.6060060962752227, 0.025687458639533846]",10,0.00011168177135447245,0.00013655681901864893,0.0003470126326893363,0.0001439426965084292,0.000472006887502703,0.002123249436050755,0.00023361229576195484,0.00039568820940993145,0.00014567697152795435,0.0016138142820657706,0.9942767579981101
"One like Holo but red in place of the blue would rock.
",1,70,"[0.17062783566633702, -0.036703546544492795]",5,0.00011687231856484012,0.0002759377628063205,0.0008701018649278179,0.0003599674353343444,0.01556947935422196,0.9778987379809495,0.0015206527027611413,0.002133437240760365,0.0004609351849287592,0.0004619474386655981,0.00033193071607946377
"Only thing is it couldn't input Chinese language.
",1,71,"[-0.0730479067324086, -0.2952182819435055]",3,0.00028986187315811193,0.0009450033902451082,0.0005203717264839444,0.902158726329007,0.004091865794958621,0.0012404934754987717,0.025495970755199587,0.05846127175731323,0.006485917015434732,0.0001607849832345496,0.00014973289946644427
"I love this app best $3 I've ever spent drastically increases texting speed if you have it set up right could use some more themes like a black background with neon green letters
",1,72,"[0.14092471442758978, 0.051214845474487215]",5,0.002947176349814319,0.006480519867812359,0.04693258411049659,0.002974682455524884,0.2562802992929301,0.6369219959842386,0.014728263787718271,0.008485371537844707,0.006718596101418031,0.014402556420243259,0.0031279540919588182
"The one and only problem I have is this program needs to do a better with choosing which punctuation sentences should receive.
",1,73,"[0.037626554455257526, -0.20965947076210042]",7,3.588597001388519e-05,0.00011806631601641196,0.00010202494975371214,0.004314787000052492,0.0020664719321938077,0.0005880131153498477,0.00643946658594118,0.9856338516531733,0.0006367212560473277,3.258466351007589e-05,3.212655794781313e-05
"I would like it if there were emoticon add ons for this keyboard like there are some of the other ones though...
",1,74,"[0.17454712985424378, 0.2655129134997317]",9,0.0047411941395099095,0.0038098260849063178,0.07289279909053333,0.0006463187329418852,0.00727414775147775,0.010951529269971456,0.0019012139004785592,0.0010481993991105604,0.001691562279373672,0.8926544166548442,0.0023887926968524384
"This app is okay except that the keys are loud when I type, so if I'm working or hunting I have to change the settings.
",1,75,"[-0.12512272711340794, 0.21518437932333123]",0,0.699289967856554,0.2198633781158148,0.06697738108460827,0.0005948102554951391,0.003753621923209023,0.00083847561202228,0.0020785372573403696,0.000413685711268973,0.005116890362883766,0.0009547964516842416,0.00011845536911887662
"And if I'm just not finding how to change the setting I apologize but I've looked everywhere on the phone
",1,76,"[-0.04429203186345556, -0.016181363602627077]",4,0.0021707706508857644,0.018091988983928792,0.009583444162577462,0.007773011774087558,0.5502276555234863,0.004822456155043318,0.2890465847149686,0.005803717258206315,0.11162926163087517,0.0006415387437575257,0.0002095704021832923
"Needs more themes!
",1,77,"[0.6469606613071552, 0.01665480336653548]",10,0.0004486314938321746,0.0005431679646202946,0.0013082698421350031,0.0005880093261825766,0.0017622762832605803,0.007065126134852672,0.0009185256209233223,0.0015603232595008886,0.0005824437611208854,0.005570784624456403,0.9796524416891151
"Love the "".com""  button but I wish it were in a different place. Maybe put it on the left side of the space bar.
",1,78,"[0.08316318625311708, 0.0417456385221478]",4,0.0020669557494654755,0.006132449852554,0.03647732955961475,0.0021948841639270003,0.8522676817927826,0.06885934986539059,0.01567212085053521,0.004960206813769121,0.006867282601553755,0.0036903781567927106,0.0008113605936147367
"You need more themes..
",1,79,"[0.5797317696778103, 0.03858755346612561]",10,2.9125837664537587e-05,3.563433554038817e-05,9.487326971233932e-05,3.615127320430589e-05,0.00012749793425525602,0.0006197108976262192,6.054549136567551e-05,0.00010066906847493467,3.7536965958247764e-05,0.0004837380996808796,0.9983745168265171
"It's a great keyboard,  I just get board with the limited options
",1,80,"[0.011692557880098936, 0.27426605816688193]",2,0.0286808250730064,0.011904473036667317,0.9386234415270437,0.00048519899842278813,0.004946513369756081,0.0023041356376243007,0.0016059729264172116,0.0005259891032835812,0.0021452588382871326,0.00841546931038223,0.00036272217910922816
"It's useless application with Jelly Bean keyboard.
",1,81,"[-0.19403518372574693, 0.13416728825164567]",1,0.0016405830763071162,0.9972566986218456,0.0002828424617817596,2.995584417287868e-05,0.00010358495275671647,1.641766942640103e-05,0.00010475000932403831,1.3958159994004677e-05,0.0005382505578395193,1.0781301352927669e-05,2.1773451991500486e-06
"In the Dvorak layout, the lowercase 'M' & 'W' keys are supposed to display '(' & ')' on long press. The 'W' usually displays a '0' instead, but occasionally readjusts.
",1,82,"[-0.0784998241616209, 0.065490614231047]",1,0.022294384925168463,0.4650620132302294,0.09790779183732815,0.007271044157934835,0.15221743271813787,0.006989277348641897,0.06677103863559887,0.004745930923146964,0.17407430110616218,0.0022033594770672696,0.000463425640584238
